编号,英文slug,标题,难度,是否付费,任务领受Agent编号,当前任务状态
1,two-sum,Two Sum,简单,否,Agent-Llama3-100,已拉取
2,add-two-numbers,Add Two Numbers,中等,否,Agent-Llama3-101,已拉取
3,longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,中等,否,Agent-Llama3-102,已拉取
4,median-of-two-sorted-arrays,Median of Two Sorted Arrays,困难,否,Agent-Llama3-100,已拉取
5,longest-palindromic-substring,Longest Palindromic Substring,中等,否,Agent-Llama3-101,已拉取
6,zigzag-conversion,Zigzag Conversion,中等,否,Agent-Llama3-102,已拉取
7,reverse-integer,Reverse Integer,中等,否,Agent-Llama3-100,已拉取
8,string-to-integer-atoi,String to Integer (atoi),中等,否,Agent-Llama3-101,已拉取
9,palindrome-number,Palindrome Number,简单,否,Agent-Llama3-102,已拉取
10,regular-expression-matching,Regular Expression Matching,困难,否,,已拉取
11,container-with-most-water,Container With Most Water,中等,否,,已拉取
12,integer-to-roman,Integer to Roman,中等,否,,已拉取
13,roman-to-integer,Roman to Integer,简单,否,,已拉取
14,longest-common-prefix,Longest Common Prefix,简单,否,,已拉取
15,3sum,3Sum,中等,否,,已拉取
16,3sum-closest,3Sum Closest,中等,否,,已拉取
17,letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,中等,否,,已拉取
18,4sum,4Sum,中等,否,,已拉取
19,remove-nth-node-from-end-of-list,Remove Nth Node From End of List,中等,否,,已拉取
20,valid-parentheses,Valid Parentheses,简单,否,,已拉取
21,merge-two-sorted-lists,Merge Two Sorted Lists,简单,否,,已拉取
22,generate-parentheses,Generate Parentheses,中等,否,,已拉取
23,merge-k-sorted-lists,Merge k Sorted Lists,困难,否,,已拉取
24,swap-nodes-in-pairs,Swap Nodes in Pairs,中等,否,,已拉取
25,reverse-nodes-in-k-group,Reverse Nodes in k-Group,困难,否,,已拉取
26,remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,简单,否,,已拉取
27,remove-element,Remove Element,简单,否,,已拉取
28,find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,简单,否,,已拉取
29,divide-two-integers,Divide Two Integers,中等,否,,已拉取
30,substring-with-concatenation-of-all-words,Substring with Concatenation of All Words,困难,否,,已拉取
31,next-permutation,Next Permutation,中等,否,,已拉取
32,longest-valid-parentheses,Longest Valid Parentheses,困难,否,,已拉取
33,search-in-rotated-sorted-array,Search in Rotated Sorted Array,中等,否,,已拉取
34,find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,中等,否,,已拉取
35,search-insert-position,Search Insert Position,简单,否,,已拉取
36,valid-sudoku,Valid Sudoku,中等,否,,已拉取
37,sudoku-solver,Sudoku Solver,困难,否,,已拉取
38,count-and-say,Count and Say,中等,否,,已拉取
39,combination-sum,Combination Sum,中等,否,,已拉取
40,combination-sum-ii,Combination Sum II,中等,否,,已拉取
41,first-missing-positive,First Missing Positive,困难,否,,已拉取
42,trapping-rain-water,Trapping Rain Water,困难,否,,已拉取
43,multiply-strings,Multiply Strings,中等,否,,已拉取
44,wildcard-matching,Wildcard Matching,困难,否,,已拉取
45,jump-game-ii,Jump Game II,中等,否,,已拉取
46,permutations,Permutations,中等,否,,已拉取
47,permutations-ii,Permutations II,中等,否,,已拉取
48,rotate-image,Rotate Image,中等,否,,已拉取
49,group-anagrams,Group Anagrams,中等,否,,已拉取
50,powx-n,"Pow(x, n)",中等,否,,已拉取
51,n-queens,N-Queens,困难,否,,已拉取
52,n-queens-ii,N-Queens II,困难,否,,已拉取
53,maximum-subarray,Maximum Subarray,中等,否,,已拉取
54,spiral-matrix,Spiral Matrix,中等,否,,已拉取
55,jump-game,Jump Game,中等,否,,已拉取
56,merge-intervals,Merge Intervals,中等,否,,已拉取
57,insert-interval,Insert Interval,中等,否,,已拉取
58,length-of-last-word,Length of Last Word,简单,否,,已拉取
59,spiral-matrix-ii,Spiral Matrix II,中等,否,,已拉取
60,permutation-sequence,Permutation Sequence,困难,否,,已拉取
61,rotate-list,Rotate List,中等,否,,已拉取
62,unique-paths,Unique Paths,中等,否,,已拉取
63,unique-paths-ii,Unique Paths II,中等,否,,已拉取
64,minimum-path-sum,Minimum Path Sum,中等,否,,已拉取
65,valid-number,Valid Number,困难,否,,已拉取
66,plus-one,Plus One,简单,否,,已拉取
67,add-binary,Add Binary,简单,否,,已拉取
68,text-justification,Text Justification,困难,否,,已拉取
69,sqrtx,Sqrt(x),简单,否,,已拉取
70,climbing-stairs,Climbing Stairs,简单,否,,已拉取
71,simplify-path,Simplify Path,中等,否,,已拉取
72,edit-distance,Edit Distance,中等,否,,已拉取
73,set-matrix-zeroes,Set Matrix Zeroes,中等,否,,已拉取
74,search-a-2d-matrix,Search a 2D Matrix,中等,否,,已拉取
75,sort-colors,Sort Colors,中等,否,,已拉取
76,minimum-window-substring,Minimum Window Substring,困难,否,,已拉取
77,combinations,Combinations,中等,否,,已拉取
78,subsets,Subsets,中等,否,,已拉取
79,word-search,Word Search,中等,否,,已拉取
80,remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,中等,否,,已拉取
81,search-in-rotated-sorted-array-ii,Search in Rotated Sorted Array II,中等,否,,已拉取
82,remove-duplicates-from-sorted-list-ii,Remove Duplicates from Sorted List II,中等,否,,已拉取
